Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Domaci'], Accuracy: 0.4500, Spearman: 0.4812
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Domaci'], Accuracy: 0.4816, Spearman: 0.6000
Model: SVC, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Domaci'], Accuracy: 0.4947, Spearman: 0.7128
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Domaci'], Accuracy: 0.4737, Spearman: 0.6241
Model: KNN, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Domaci'], Accuracy: 0.4526, Spearman: 0.6120
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Gost'], Accuracy: 0.5000, Spearman: 0.7398
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Gost'], Accuracy: 0.5158, Spearman: 0.7218
Model: SVC, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Gost'], Accuracy: 0.5421, Spearman: 0.7850
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Gost'], Accuracy: 0.4947, Spearman: 0.6827
Model: KNN, Features: ['HomeTeam', 'Referee', 'Novi u Ligi Gost'], Accuracy: 0.4316, Spearman: 0.5383
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Forma Domacina Numericki'], Accuracy: 0.4211, Spearman: 0.5759
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Forma Domacina Numericki'], Accuracy: 0.4842, Spearman: 0.6481
Model: SVC, Features: ['HomeTeam', 'Referee', 'Forma Domacina Numericki'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Forma Domacina Numericki'], Accuracy: 0.4658, Spearman: 0.4887
Model: KNN, Features: ['HomeTeam', 'Referee', 'Forma Domacina Numericki'], Accuracy: 0.3947, Spearman: 0.6782
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Forma Gosta Numericki'], Accuracy: 0.4526, Spearman: 0.6977
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Forma Gosta Numericki'], Accuracy: 0.5526, Spearman: 0.8481
Model: SVC, Features: ['HomeTeam', 'Referee', 'Forma Gosta Numericki'], Accuracy: 0.5368, Spearman: 0.8000
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Forma Gosta Numericki'], Accuracy: 0.4921, Spearman: 0.7263
Model: KNN, Features: ['HomeTeam', 'Referee', 'Forma Gosta Numericki'], Accuracy: 0.4211, Spearman: 0.7128
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Otezana Forma Domacina'], Accuracy: 0.4316, Spearman: 0.6045
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Otezana Forma Domacina'], Accuracy: 0.4895, Spearman: 0.6406
Model: SVC, Features: ['HomeTeam', 'Referee', 'Otezana Forma Domacina'], Accuracy: 0.4763, Spearman: 0.9850
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Otezana Forma Domacina'], Accuracy: 0.4737, Spearman: 0.6256
Model: KNN, Features: ['HomeTeam', 'Referee', 'Otezana Forma Domacina'], Accuracy: 0.4132, Spearman: 0.4226
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Otezana Forma Gosta'], Accuracy: 0.4789, Spearman: 0.7504
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Otezana Forma Gosta'], Accuracy: 0.5316, Spearman: 0.8090
Model: SVC, Features: ['HomeTeam', 'Referee', 'Otezana Forma Gosta'], Accuracy: 0.5237, Spearman: 0.7429
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Otezana Forma Gosta'], Accuracy: 0.5000, Spearman: 0.6977
Model: KNN, Features: ['HomeTeam', 'Referee', 'Otezana Forma Gosta'], Accuracy: 0.4711, Spearman: 0.5534
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Domacin -1 utakmica'], Accuracy: 0.4526, Spearman: 0.7444
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Domacin -1 utakmica'], Accuracy: 0.4895, Spearman: 0.6256
Model: SVC, Features: ['HomeTeam', 'Referee', 'Domacin -1 utakmica'], Accuracy: 0.4763, Spearman: 0.4617
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Domacin -1 utakmica'], Accuracy: 0.4842, Spearman: 0.6586
Model: KNN, Features: ['HomeTeam', 'Referee', 'Domacin -1 utakmica'], Accuracy: 0.4553, Spearman: 0.6436
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Domacin -2 utakmica'], Accuracy: 0.4421, Spearman: 0.5895
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Domacin -2 utakmica'], Accuracy: 0.4816, Spearman: 0.6632
Model: SVC, Features: ['HomeTeam', 'Referee', 'Domacin -2 utakmica'], Accuracy: 0.5237, Spearman: 0.6195
Model: Gradient Boosting, Features: ['HomeTeam', 'Referee', 'Domacin -2 utakmica'], Accuracy: 0.4711, Spearman: 0.6226
Model: KNN, Features: ['HomeTeam', 'Referee', 'Domacin -2 utakmica'], Accuracy: 0.4237, Spearman: 0.3504
Model: Random Forest, Features: ['HomeTeam', 'Referee', 'Domacin -3 utakmica'], Accuracy: 0.4447, Spearman: 0.6932
Model: Logistic Regression, Features: ['HomeTeam', 'Referee', 'Domacin -3 utakmica'], Accuracy: 0.4947, Spearman: 0.6466
